id,word,alt,new_word,bee,group,nTried,nMistakes,weight
110,wrenches,,0,one,study,0,0,1
111,goggles,,0,one,study,0,0,1
112,inflate,,0,one,study,0,0,1
113,single,,0,one,study,0,0,1
114,polish,,0,one,study,0,0,1
115,dolphin,,0,one,study,0,0,1
116,skiing,,0,one,study,0,0,1
117,Texas,,0,one,study,0,0,1
118,mumble,,0,one,study,0,0,1
119,direct,,0,one,study,0,0,1
120,detail,,0,one,study,0,0,1
121,alas,,0,one,study,0,0,1
122,barrels,,0,one,study,0,0,1
123,clerks,,0,one,study,0,0,1
124,forty,,0,one,study,0,0,1
125,embers,,0,one,study,0,0,1
126,paddles,,0,one,study,0,0,1
127,whiskers,,0,one,study,0,0,1
128,condition,,0,one,study,0,0,1
129,slumped,,0,one,study,0,0,1
130,blurted,,0,one,study,0,0,1
131,wallet,,0,one,study,0,0,1
132,focus,,0,one,study,0,0,1
133,circus,,0,one,study,0,0,1
134,aware,,0,one,study,0,0,1
135,mango,,0,one,study,0,0,1
136,firmly,,0,one,study,0,0,1
137,imagined,,0,one,study,0,0,1
138,reveal,,0,one,study,0,0,1
139,ached,,0,one,study,0,0,1
140,fabric,,0,one,study,0,0,1
141,detour,,0,one,study,0,0,1
142,impolite,,0,one,study,0,0,1
143,squiggles,,0,one,study,0,0,1
144,because,,0,one,study,0,0,1
145,teachers,,0,one,study,0,0,1
146,ordinary,,0,one,study,0,0,1
147,capture,,0,one,study,0,0,1
148,feline,,0,one,study,0,0,1
149,gusto,,0,one,study,0,0,1
150,kitchen,,0,one,study,0,0,1
151,gradual,,0,one,champions,0,0,1
152,ferocious,,0,one,champions,0,0,1
153,frequently,,0,one,champions,0,0,1
154,permission,,0,one,champions,0,0,1
155,towel,,0,one,champions,0,0,1
156,sundae,,0,one,champions,0,0,1
157,ornament,,0,one,champions,0,0,1
158,rooster,,0,one,champions,0,0,1
159,scold,,0,one,champions,0,0,1
160,organza,,0,one,champions,0,0,1
161,fragile,,0,one,champions,0,0,1
162,galaxy,,0,one,champions,0,0,1
163,complaint,,0,one,champions,0,0,1
164,curries,,0,one,champions,0,0,1
165,tennis,,0,one,champions,0,0,1
166,grumbling,,0,one,champions,0,0,1
167,garlic,,0,one,champions,0,0,1
168,hula,,0,one,champions,0,0,1
169,reactionary,,0,one,champions,0,0,1
170,muscular,,0,one,champions,0,0,1
171,drizzle,,0,one,champions,0,0,1
172,accurate,,0,one,champions,0,0,1
173,studio,,0,one,champions,0,0,1
174,illusionist,,0,one,champions,0,0,1
175,genetic,,0,one,champions,0,0,1
176,levity,,0,one,champions,0,0,1
177,moisture,,0,one,champions,0,0,1
178,toughness,,0,one,champions,0,0,1
179,tasteless,,0,one,champions,0,0,1
180,astute,,0,one,champions,0,0,1
181,turtle,,0,one,champions,0,0,1
182,Pinkerton,,0,one,champions,0,0,1
183,fortune,,0,one,champions,0,0,1
184,sluggard,,0,one,champions,0,0,1
185,bedlam,,0,one,champions,0,0,1
186,shortfall,,0,one,champions,0,0,1
187,cowlick,,0,one,champions,0,0,1
188,opinionated,,0,one,champions,0,0,1
189,slogan,,0,one,champions,0,0,1
190,triumphant,,0,one,champions,0,0,1
191,parenthetic,,0,one,champions,0,0,1
192,listener,,0,one,champions,0,0,1
193,guardian,,0,one,champions,0,0,1
194,dwindled,,0,one,champions,0,0,1
195,fraught,,0,one,champions,0,0,1
196,sturdy,,0,one,champions,0,0,1
197,treadmill,,0,one,champions,0,0,1
198,originate,,0,one,champions,0,0,1
199,eavesdrop,,0,one,champions,0,0,1
200,January,,0,one,champions,0,0,1
201,scruple,,0,one,champions,0,0,1
202,moxie,,0,one,champions,0,0,1
203,winnow,,0,one,champions,0,0,1
204,incentive,,0,one,champions,0,0,1
205,admirer,,0,one,champions,0,0,1
206,emotional,,0,one,champions,0,0,1
207,chia,,0,one,champions,0,0,1
208,raspberry,,0,one,champions,0,0,1
209,bogus,,0,one,champions,0,0,1
210,recoup,,0,one,champions,0,0,1
211,bookworm,,0,one,champions,0,0,1
212,veteran,,0,one,champions,0,0,1
213,erase,,0,one,champions,0,0,1
214,downcast,,0,one,champions,0,0,1
215,spinal,,0,one,champions,0,0,1
216,demolition,,0,one,champions,0,0,1
217,gargantuan,,0,one,champions,0,0,1
218,salsa,,0,one,champions,0,0,1
219,chaotic,,0,one,champions,0,0,1
220,shrimp,,0,one,champions,0,0,1
221,mandate,,0,one,champions,0,0,1
222,turret,,0,one,champions,0,0,1
223,pigeon,,0,one,champions,0,0,1
224,satellite,,0,one,champions,0,0,1
225,parasite,,0,one,champions,0,0,1
226,cascade,,0,one,champions,0,0,1
227,dandelion,,0,one,champions,0,0,1
228,famous,,0,one,champions,0,0,1
229,pristine,,0,one,champions,0,0,1
230,golden,,0,one,champions,0,0,1
231,modesty,,0,one,champions,0,0,1
232,amphibian,,0,one,champions,0,0,1
233,jealousy,,0,one,champions,0,0,1
234,remedial,,0,one,champions,0,0,1
235,vouch,,0,one,champions,0,0,1
236,trivia,,0,one,champions,0,0,1
237,shoulder,,0,one,champions,0,0,1
238,zebra,,0,one,champions,0,0,1
239,butterscotch,,0,one,champions,0,0,1
240,apron,,0,one,champions,0,0,1
241,beagle,,0,one,champions,0,0,1
242,kidney,,0,one,champions,0,0,1
243,wistful,,0,one,champions,0,0,1
244,raven,,0,one,champions,0,0,1
245,fructose,,0,one,champions,0,0,1
246,Amazon,,0,one,champions,0,0,1
247,companion,,0,one,champions,0,0,1
248,panorama,,0,one,champions,0,0,1
249,gimmick,,0,one,champions,0,0,1
250,flannel,,0,one,champions,0,0,1
251,cucumber,,0,one,champions,0,0,1
252,McMansion,,0,one,champions,0,0,1
253,janitor,,0,one,champions,0,0,1
254,lionize,,0,one,champions,0,0,1
255,headdress,,0,one,champions,0,0,1
256,ludicrous,,0,one,champions,0,0,1
257,pear,,0,one,champions,0,0,1
258,system,,0,one,champions,0,0,1
259,pedigree,,0,one,champions,0,0,1
260,empty,,0,one,champions,0,0,1
261,amulet,,0,one,champions,0,0,1
262,guess,,0,one,champions,0,0,1
263,magician,,0,one,champions,0,0,1
264,carrot,,0,one,champions,0,0,1
265,meteor,,0,one,champions,0,0,1
266,distraught,,0,one,champions,0,0,1
267,freight,,0,one,champions,0,0,1
268,honeybee,,0,one,champions,0,0,1
269,blemish,,0,one,champions,0,0,1
270,crumpet,,0,one,champions,0,0,1
271,blizzard,,0,one,champions,0,0,1
272,squirm,,0,one,champions,0,0,1
273,harmonious,,0,one,champions,0,0,1
274,lawyer,,0,one,champions,0,0,1
275,valiant,,0,one,champions,0,0,1
276,purse,,0,one,champions,0,0,1
277,raisin,,0,one,champions,0,0,1
278,trumpet,,0,one,champions,0,0,1
279,bias,,0,one,champions,0,0,1
280,lettuce,,0,one,champions,0,0,1
281,shamrock,,0,one,champions,0,0,1
282,Americana,,0,one,champions,0,0,1
283,monopolize,,0,one,champions,0,0,1
284,water,,0,one,champions,0,0,1
285,marathon,,0,one,champions,0,0,1
286,omission,,0,one,champions,0,0,1
287,newbie,,0,one,champions,0,0,1
288,spreadsheet,,0,one,champions,0,0,1
289,badger,,0,one,champions,0,0,1
290,fortification,,0,one,champions,0,0,1
291,hydra,,0,one,champions,0,0,1
292,grouse,,0,one,champions,0,0,1
293,manta,,0,one,champions,0,0,1
294,astonish,,0,one,champions,0,0,1
295,fashionista,,0,one,champions,0,0,1
296,stubble,,0,one,champions,0,0,1
297,genius,,0,one,champions,0,0,1
298,nuance,,0,one,champions,0,0,1
299,stencil,,0,one,champions,0,0,1
300,penguin,,0,one,champions,0,0,1
301,freckle,,0,one,champions,0,0,1
302,blooper,,0,one,champions,0,0,1
303,misconception,,0,one,champions,0,0,1
304,lambkin,,0,one,champions,0,0,1
305,chowder,,0,one,champions,0,0,1
306,sunflower,,0,one,champions,0,0,1
307,lambasted,,0,one,champions,0,0,1
308,volumetric,,0,one,champions,0,0,1
309,flattery,,0,one,champions,0,0,1
310,simmer,,0,one,champions,0,0,1
311,whisk,,0,one,champions,0,0,1
312,bathtub,,0,one,champions,0,0,1
313,fantastically,,0,one,champions,0,0,1
314,failure,,0,one,champions,0,0,1
315,tolerable,,0,one,champions,0,0,1
316,mosquito,,0,one,champions,0,0,1
317,target,,0,one,champions,0,0,1
318,angora,,0,one,champions,0,0,1
319,snippet,,0,one,champions,0,0,1
320,ascribe,,0,one,champions,0,0,1
321,hodgepodge,,0,one,champions,0,0,1
322,verbiage,,0,one,champions,0,0,1
323,nephew,,0,one,champions,0,0,1
324,imbibe,,0,one,champions,0,0,1
325,savvy,,0,one,champions,0,0,1
326,reckon,,0,one,champions,0,0,1
327,boorish,,0,one,champions,0,0,1
328,tarmac,,0,one,champions,0,0,1
329,iteration,,0,one,champions,0,0,1
330,nurture,,0,one,champions,0,0,1
331,volcano,,0,one,champions,0,0,1
332,forensics,,0,one,champions,0,0,1
333,miraculous,,0,one,champions,0,0,1
334,trendy,,0,one,champions,0,0,1
335,permafrost,,0,one,champions,0,0,1
336,iceberg,,0,one,champions,0,0,1
337,cactus,,0,one,champions,0,0,1
338,nationalism,,0,one,champions,0,0,1
339,leeway,,0,one,champions,0,0,1
340,pilferer,,0,one,champions,0,0,1
341,rollicking,,0,one,champions,0,0,1
342,quart,,0,one,champions,0,0,1
343,lactose,,0,one,champions,0,0,1
344,domineering,,0,one,champions,0,0,1
345,onion,,0,one,champions,0,0,1
346,abandon,,0,one,champions,0,0,1
347,vault,,0,one,champions,0,0,1
348,junior,,0,one,champions,0,0,1
349,hamlet,,0,one,champions,0,0,1
350,jubilant,,0,one,champions,0,0,1
351,thawed,,0,one,champions,0,0,1
352,uncle,,0,one,champions,0,0,1
353,dawdle,,0,one,champions,0,0,1
354,mogul,,0,one,champions,0,0,1
355,troll,,0,one,champions,0,0,1
356,kindred,,0,one,champions,0,0,1
357,tantrum,,0,one,champions,0,0,1
358,science,,0,one,champions,0,0,1
359,cement,,0,one,champions,0,0,1
360,venomous,,0,one,champions,0,0,1
361,plaintiff,,0,one,champions,0,0,1
362,mayhem,,0,one,champions,0,0,1
363,thicket,,0,one,champions,0,0,1
364,gymnastics,,0,one,champions,0,0,1
365,island,,0,one,champions,0,0,1
366,peacenik,,0,one,champions,0,0,1
367,ounce,,0,one,champions,0,0,1
368,memorandum,,0,one,champions,0,0,1
369,bother,,0,one,champions,0,0,1
370,missile,,0,one,champions,0,0,1
371,munchkin,,0,one,champions,0,0,1
372,banana,,0,one,champions,0,0,1
373,furnace,,0,one,champions,0,0,1
374,foothills,,0,one,champions,0,0,1
375,tongue,,0,one,champions,0,0,1
376,caterpillar,,0,one,champions,0,0,1
377,wasp,,0,one,champions,0,0,1
378,kudos,,0,one,champions,0,0,1
379,alpha,,0,one,champions,0,0,1
380,shebang,,0,one,champions,0,0,1
381,tibia,,0,one,champions,0,0,1
382,hazelnut,,0,one,champions,0,0,1
383,votive,,0,one,champions,0,0,1
384,storm,,0,one,champions,0,0,1
385,mince,,0,one,champions,0,0,1
386,bubbly,,0,one,champions,0,0,1
387,graham,,0,one,champions,0,0,1
388,headlong,,0,one,champions,0,0,1
389,timber,,0,one,champions,0,0,1
390,medallion,,0,one,champions,0,0,1
391,maximum,,0,one,champions,0,0,1
392,clover,,0,one,champions,0,0,1
393,casino,,0,one,champions,0,0,1
394,distinctive,,0,one,champions,0,0,1
395,mister,,0,one,champions,0,0,1
396,warning,,0,one,champions,0,0,1
397,useful,,0,one,champions,0,0,1
398,difficult,,0,one,champions,0,0,1
399,mischief,,0,one,champions,0,0,1
400,talent,,0,one,champions,0,0,1
401,kiwi,,0,one,champions,0,0,1
402,publish,,0,one,champions,0,0,1
403,mutter,,0,one,champions,0,0,1
404,sedentary,,0,one,champions,0,0,1
405,divine,,0,one,champions,0,0,1
406,lexicon,,0,one,champions,0,0,1
407,bristle,,0,one,champions,0,0,1
408,daresay,,0,one,champions,0,0,1
409,owlishly,,0,one,champions,0,0,1
410,criminal,,0,one,champions,0,0,1
411,recipient,,0,one,champions,0,0,1
412,strong,,0,one,champions,0,0,1
413,canteen,,0,one,champions,0,0,1
414,aviation,,0,one,champions,0,0,1
415,lucky,,0,one,champions,0,0,1
416,rocket,,0,one,champions,0,0,1
417,reflect,,0,one,champions,0,0,1
418,scent,,0,one,champions,0,0,1
419,puzzles,,0,one,champions,0,0,1
420,scumble,,0,one,champions,0,0,1
421,extinct,,0,one,champions,0,0,1
422,jersey,,0,one,champions,0,0,1
423,trapezoid,,0,one,champions,0,0,1
424,dillydally,,0,one,champions,0,0,1
425,haggle,,0,one,champions,0,0,1
426,sword,,0,one,champions,0,0,1
427,mastiff,,0,one,champions,0,0,1
428,cooperate,,0,one,champions,0,0,1
429,merchandise,,0,one,champions,0,0,1
430,melted,,0,one,champions,0,0,1
431,apology,,0,one,champions,0,0,1
432,carnival,,0,one,champions,0,0,1
433,buffoonery,,0,one,champions,0,0,1
434,intellectual,,0,one,champions,0,0,1
435,tickled,,0,one,champions,0,0,1
436,domino,,0,one,champions,0,0,1
437,ignite,,0,one,champions,0,0,1
438,legacy,,0,one,champions,0,0,1
439,splurge,,0,one,champions,0,0,1
440,neigh,,0,one,champions,0,0,1
441,cabbage,,0,one,champions,0,0,1
442,erode,,0,one,champions,0,0,1
443,anyway,,0,one,champions,0,0,1
444,isolation,,0,one,champions,0,0,1
445,measly,,0,one,champions,0,0,1
446,apprehensive,,0,one,champions,0,0,1
447,zither,,0,one,champions,0,0,1
448,invoke,,0,one,champions,0,0,1
449,upshot,,0,one,champions,0,0,1
450,climate,,0,one,champions,0,0,1
451,Yankee,,0,one,champions,0,0,1
452,dim-sum,,0,one,champions,0,0,1
453,moose,,0,one,champions,0,0,1
454,cuckoo,,0,one,champions,0,0,1
455,dilemma,,0,one,champions,0,0,1
456,outrageous,,0,one,champions,0,0,1
457,silver,,0,one,champions,0,0,1
458,fedora,,0,one,champions,0,0,1
459,wildcat,,0,one,champions,0,0,1
460,monstrosity,,0,one,champions,0,0,1
461,sofa,,0,one,champions,0,0,1
462,eggplant,,0,one,champions,0,0,1
463,kosher,,0,one,champions,0,0,1
464,minority,,0,one,champions,0,0,1
465,default,,0,one,champions,0,0,1
466,heroic,,0,one,champions,0,0,1
467,bombard,,0,one,champions,0,0,1
468,furtive,,0,one,champions,0,0,1
469,journal,,0,one,champions,0,0,1
470,tulip,,0,one,champions,0,0,1
471,myself,,0,one,champions,0,0,1
472,marine,,0,one,champions,0,0,1
473,cloudy,,0,one,champions,0,0,1
474,cricket,,0,one,champions,0,0,1
475,motto,,0,one,champions,0,0,1
476,torch,,0,one,champions,0,0,1
477,pamper,,0,one,champions,0,0,1
478,pleasant,,0,one,champions,0,0,1
479,robin,,0,one,champions,0,0,1
480,historical,,0,one,champions,0,0,1
481,rules,,0,one,champions,0,0,1
482,geometric,,0,one,champions,0,0,1
483,villa,,0,one,champions,0,0,1
484,midriff,,0,one,champions,0,0,1
485,teaspoon,,0,one,champions,0,0,1
486,worrywart,,0,one,champions,0,0,1
487,developer,,0,one,champions,0,0,1
488,shopaholic,,0,one,champions,0,0,1
489,magma,,0,one,champions,0,0,1
490,briefcase,,0,one,champions,0,0,1
491,deputy,,0,one,champions,0,0,1
492,mangrove,,0,one,champions,0,0,1
493,enfranchise,,0,one,champions,0,0,1
494,kiln,,0,one,champions,0,0,1
495,webisode,,0,one,champions,0,0,1
496,kangaroo,,0,one,champions,0,0,1
497,Romeo,,0,one,champions,0,0,1
498,emerge,,0,one,champions,0,0,1
499,twitchy,,0,one,champions,0,0,1
500,arrogant,,0,one,champions,0,0,1
501,normative,,0,one,champions,0,0,1
502,homework,,0,one,champions,0,0,1
503,mildew,,0,one,champions,0,0,1
504,pattern,,0,one,champions,0,0,1
505,coffee,,0,one,champions,0,0,1
506,botch,,0,one,champions,0,0,1
507,receptacle,,0,one,champions,0,0,1
508,bagpipe,,0,one,champions,0,0,1
509,bonfire,,0,one,champions,0,0,1
510,abruptly,,0,one,champions,0,0,1
511,bushel,,0,one,champions,0,0,1
512,skedaddle,,0,one,champions,0,0,1
513,toddler,,0,one,champions,0,0,1
514,everglades,,0,one,champions,0,0,1
515,pellet,,0,one,champions,0,0,1
516,klutz,,0,one,champions,0,0,1
517,envoy,,0,one,champions,0,0,1
518,postpone,,0,one,champions,0,0,1
519,wafer,,0,one,champions,0,0,1
520,software,,0,one,champions,0,0,1
521,factoid,,0,one,champions,0,0,1
522,evince,,0,one,champions,0,0,1
523,season,,0,one,champions,0,0,1
524,horizon,,0,one,champions,0,0,1
525,arborio,,0,one,champions,0,0,1
526,cartoon,,0,one,champions,0,0,1
527,dough,,0,one,champions,0,0,1
528,emperor,,0,one,champions,0,0,1
529,utterable,,0,one,champions,0,0,1
530,leniency,,0,one,champions,0,0,1
531,frivolous,,0,one,champions,0,0,1
532,potato,,0,one,champions,0,0,1
533,wholehearted,,0,one,champions,0,0,1
534,metadata,,0,one,champions,0,0,1
535,farewell,,0,one,champions,0,0,1
536,hypnotic,,0,one,champions,0,0,1
537,jewel,,0,one,champions,0,0,1
538,tangible,,0,one,champions,0,0,1
539,nourish,,0,one,champions,0,0,1
540,vulpine,,0,one,champions,0,0,1
541,aloha,,0,one,champions,0,0,1
542,entrance,,0,one,champions,0,0,1
543,kindergarten,,0,one,champions,0,0,1
544,restaurant,,0,one,champions,0,0,1
545,excavating,,0,one,champions,0,0,1
546,dodge,,0,one,champions,0,0,1
547,iota,,0,one,champions,0,0,1
548,gelato,,0,one,champions,0,0,1
549,hankering,,0,one,champions,0,0,1
550,esteem,,0,one,champions,0,0,1
551,knack,,0,one,champions,0,0,1
552,satisfactory,,0,one,champions,0,0,1
553,barefoot,,0,one,champions,0,0,1
554,trope,,0,one,champions,0,0,1
555,knock,,0,one,champions,0,0,1
556,whittle,,0,one,champions,0,0,1
557,joyful,,0,one,champions,0,0,1
558,genuine,,0,one,champions,0,0,1
559,recluse,,0,one,champions,0,0,1
560,shield,,0,one,champions,0,0,1
561,tiger,,0,one,champions,0,0,1
562,romaine,,0,one,champions,0,0,1
563,migraine,,0,one,champions,0,0,1
564,oasis,,0,one,champions,0,0,1
565,navigator,,0,one,champions,0,0,1
566,humane,,0,one,champions,0,0,1
567,polenta,,0,one,champions,0,0,1
568,delicacy,,0,one,champions,0,0,1
569,noggin,,0,one,champions,0,0,1
570,background,,0,one,champions,0,0,1
571,thistle,,0,one,champions,0,0,1
572,althorn,,0,one,champions,0,0,1
573,Spaniel,,0,one,champions,0,0,1
574,kilt,,0,one,champions,0,0,1
575,whirlybird,,0,one,champions,0,0,1
576,Hungary,,0,one,champions,0,0,1
577,welding,,0,one,champions,0,0,1
578,aforesaid,,0,one,champions,0,0,1
579,varnish,,0,one,champions,0,0,1
580,spindle,,0,one,champions,0,0,1
581,wheedle,,0,one,champions,0,0,1
582,whelp,,0,one,champions,0,0,1
583,yonder,,0,one,champions,0,0,1
584,riffraff,,0,one,champions,0,0,1
585,restive,,0,one,champions,0,0,1
586,various,,0,one,champions,0,0,1
587,giggle,,0,one,champions,0,0,1
588,bowie,,0,one,champions,0,0,1
589,teemed,,0,one,champions,0,0,1
590,soppiness,,0,one,champions,0,0,1
591,bask,,0,one,champions,0,0,1
592,lateral,,0,one,champions,0,0,1
593,usher,,0,one,champions,0,0,1
594,prone,,0,one,champions,0,0,1
595,selfie,,0,one,champions,0,0,1
596,skydiving,,0,one,champions,0,0,1
597,memes,,0,one,champions,0,0,1
598,nuggets,,0,one,champions,0,0,1
599,frailty,,0,one,champions,0,0,1
600,sweltering,,0,one,champions,0,0,1
601,scrounge,,0,one,champions,0,0,1
602,praise,,0,one,champions,0,0,1
603,scripture,,0,one,champions,0,0,1
604,ulna,,0,one,champions,0,0,1
605,fellowship,,0,one,champions,0,0,1
606,amass,,0,one,champions,0,0,1
607,missive,,0,one,champions,0,0,1
608,jitterbug,,0,one,champions,0,0,1
609,kennel,,0,one,champions,0,0,1
610,heavenly,,0,one,champions,0,0,1
611,shindig,,0,one,champions,0,0,1
612,melody,,0,one,champions,0,0,1
613,membership,,0,one,champions,0,0,1
614,oblong,,0,one,champions,0,0,1
615,yammer,,0,one,champions,0,0,1
616,whereas,,0,one,champions,0,0,1
617,coercive,,0,one,champions,0,0,1
618,bailiff,,0,one,champions,0,0,1
619,infiltrate,,0,one,champions,0,0,1
620,skirmish,,0,one,champions,0,0,1
621,constituent,,0,one,champions,0,0,1
622,flounder,,0,one,champions,0,0,1
623,cleave,,0,one,champions,0,0,1
624,millionaire,,0,one,champions,0,0,1
625,concrete,,0,one,champions,0,0,1
626,slurry,,0,one,champions,0,0,1
627,heiress,,0,one,champions,0,0,1
628,reign,,0,one,champions,0,0,1
629,spectral,,0,one,champions,0,0,1
630,dialect,,0,one,champions,0,0,1
631,heist,,0,one,champions,0,0,1
632,avenue,,0,one,champions,0,0,1
633,pending,,0,one,champions,0,0,1
634,ewe,,0,one,champions,0,0,1
635,stagestruck,,0,one,champions,0,0,1
636,standee,,0,one,champions,0,0,1
637,sailage,,0,one,champions,0,0,1
638,yoo-hoo,,0,one,champions,0,0,1
639,profiteer,,0,one,champions,0,0,1
640,kernel,,0,one,champions,0,0,1
641,tawny,,0,one,champions,0,0,1
642,scalp,,0,one,champions,0,0,1
643,scrapple,,0,one,champions,0,0,1
644,nominee,,0,one,champions,0,0,1
645,martial,,0,one,champions,0,0,1
646,acumen,,0,one,champions,0,0,1
647,infirm,,0,one,champions,0,0,1
648,bleary,,0,one,champions,0,0,1
649,attitude,,0,one,champions,0,0,1
650,beseech,,0,one,champions,0,0,1
651,sunseeker,,0,one,champions,0,0,1
652,cornily,,0,one,champions,0,0,1
653,contraction,,0,one,champions,0,0,1
654,scooter,,0,one,champions,0,0,1
655,acceptance,,0,one,champions,0,0,1
656,rugby,,0,one,champions,0,0,1
657,shore,,0,one,champions,0,0,1
658,yippee,,0,one,champions,0,0,1
659,wand,,0,one,champions,0,0,1
660,Merlin,,0,one,champions,0,0,1
661,carnation,,0,one,champions,0,0,1
662,neaten,,0,one,champions,0,0,1
663,depose,,0,one,champions,0,0,1
664,frock,,0,one,champions,0,0,1
665,camcorder,,0,one,champions,0,0,1
666,gossip,,0,one,champions,0,0,1
667,version,,0,one,champions,0,0,1
668,fluid,,0,one,champions,0,0,1
669,vlogging,,0,one,champions,0,0,1
670,diversity,,0,one,champions,0,0,1
671,spangled,,0,one,champions,0,0,1
672,barbie,,0,one,champions,0,0,1
673,delta,,0,one,champions,0,0,1
674,handyman,,0,one,champions,0,0,1
675,stewardship,,0,one,champions,0,0,1
676,gruel,,0,one,champions,0,0,1
677,groom,,0,one,champions,0,0,1
678,trice,,0,one,champions,0,0,1
679,brick,,0,one,champions,0,0,1
680,privet,,0,one,champions,0,0,1
681,debunk,,0,one,champions,0,0,1
682,ballad,,0,one,champions,0,0,1
683,chide,,0,one,champions,0,0,1
684,atonement,,0,one,champions,0,0,1
685,citation,,0,one,champions,0,0,1
686,hardtack,,0,one,champions,0,0,1
687,rabid,,0,one,champions,0,0,1
688,teenagers,,0,one,champions,0,0,1
689,peat,,0,one,champions,0,0,1
690,harrowing,,0,one,champions,0,0,1
691,hobble,,0,one,champions,0,0,1
692,peddle,,0,one,champions,0,0,1
693,effortless,,0,one,champions,0,0,1
694,moped,,0,one,champions,0,0,1
695,groats,,0,one,champions,0,0,1
696,Highlands,,0,one,champions,0,0,1
697,***retriever,,0,one,champions,0,0,1
698,anime,,0,one,champions,0,0,1
699,regiment,,0,one,champions,0,0,1
700,sterling,,0,one,champions,0,0,1
701,bootless,,1,one,champions,0,0,1
702,forgeable,,1,one,champions,0,0,1
703,transmissibility,,1,one,champions,0,0,1
704,gridiron,,1,one,champions,0,0,1
705,summoned,,1,one,champions,0,0,1
706,applicable,,1,one,champions,0,0,1
707,isms,,1,one,champions,0,0,1
